Entity,average_probability,bins
the fact,0.0654743721600351,Bin 4 (Highest)
The visitors,0.0652859870578267,Bin 4 (Highest)
soldiers,0.064762430358678,Bin 4 (Highest)
the group,0.0642100487326264,Bin 4 (Highest)
the Senate,0.0638057443381657,Bin 4 (Highest)
pregnant women,0.0629289649545843,Bin 4 (Highest)
more sense,0.0620097053868542,Bin 4 (Highest)
the army,0.0616551527149502,Bin 4 (Highest)
the president,0.0614958458103013,Bin 4 (Highest)
cables,0.0612154508919047,Bin 4 (Highest)
the legislature,0.0608042398788811,Bin 4 (Highest)
the village,0.0606242591038241,Bin 4 (Highest)
office,0.0603339274050085,Bin 4 (Highest)
the Nazis,0.0602106110901071,Bin 4 (Highest)
the province,0.0601521491903964,Bin 4 (Highest)
the Chicago Bulls,0.0596670509485785,Bin 4 (Highest)
the commission,0.0592057867960119,Bin 4 (Highest)
cinema,0.0587215296756766,Bin 4 (Highest)
Puerto Rico,0.0584252143836007,Bin 4 (Highest)
defects,0.058248986583203,Bin 4 (Highest)
The men,0.0581646377046315,Bin 4 (Highest)
Reports,0.0580737578799016,Bin 4 (Highest)
the data,0.057880099224641,Bin 4 (Highest)
The issue,0.0578685095777122,Bin 4 (Highest)
shame,0.0573244221650383,Bin 4 (Highest)
a government,0.0570602387597511,Bin 4 (Highest)
the petition,0.0568058330942163,Bin 4 (Highest)
the first round,0.0565713160133807,Bin 4 (Highest)
course,0.0565122466301544,Bin 4 (Highest)
the piano,0.0551705914179828,Bin 4 (Highest)
imprint,0.0550369493810165,Bin 4 (Highest)
the match,0.0545727892940302,Bin 4 (Highest)
two men,0.054363617080526,Bin 4 (Highest)
a peace treaty,0.0541015469527733,Bin 4 (Highest)
the world,0.0539438733861696,Bin 4 (Highest)
Palestinian Authority,0.053940277034291,Bin 4 (Highest)
hockey,0.053670691993102,Bin 4 (Highest)
my thoughts,0.0536354069793222,Bin 4 (Highest)
uranium,0.0535220244200899,Bin 4 (Highest)
the asteroid,0.053417657205429,Bin 4 (Highest)
Proton,0.0531844764001107,Bin 4 (Highest)
the spring,0.0531232480916821,Bin 4 (Highest)
the steps,0.0522383483384429,Bin 4 (Highest)
the test,0.0520903144950093,Bin 4 (Highest)
political purposes,0.051512837190779,Bin 4 (Highest)
his first year,0.0510013107434116,Bin 4 (Highest)
the Army,0.0506724546452789,Bin 4 (Highest)
the second night,0.0506225429247701,Bin 4 (Highest)
analyst,0.0506095577726,Bin 4 (Highest)
the process,0.0503106788186682,Bin 4 (Highest)
the script,0.0502476676817174,Bin 4 (Highest)
others,0.0498974841088056,Bin 4 (Highest)
a ruling,0.0495152323060724,Bin 4 (Highest)
secrecy,0.0494292202279211,Bin 4 (Highest)
the south,0.0494060823560378,Bin 4 (Highest)
itself,0.0487933729835049,Bin 4 (Highest)
February,0.0487782065960345,Bin 4 (Highest)
scores,0.0487204236078468,Bin 4 (Highest)
princely states,0.0485826743373015,Bin 4 (Highest)
The United States,0.0485675354330134,Bin 4 (Highest)
Wednesday,0.0478056485182605,Bin 4 (Highest)
the species,0.0475085987990414,Bin 4 (Highest)
the protests,0.0474791462050326,Bin 4 (Highest)
the balance,0.0471605236620004,Bin 4 (Highest)
dealers,0.0469596221286337,Bin 4 (Highest)
affairs,0.0469292744150152,Bin 4 (Highest)
the temperature,0.0466344155170355,Bin 4 (Highest)
the negotiations,0.0464787353928577,Bin 4 (Highest)
the media,0.0463973478047361,Bin 4 (Highest)
Police officers,0.0459499799678262,Bin 4 (Highest)
many years,0.0458081400743844,Bin 4 (Highest)
the scene,0.0456794600992439,Bin 4 (Highest)
CBN,0.0452823525859251,Bin 4 (Highest)
the Standard,0.0450464031513602,Bin 4 (Highest)
the future,0.0450403047228374,Bin 4 (Highest)
